Time,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,District of Columbia,Wyoming,Puerto Rico
2010-01,0,0,0,0,1575,0,0,0,1037.5,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,1500,1400,0,1150,1150,1000,1650,1350,1200,1530,1200,0,0,1175,1600,0,0,0,0,0,1200,0,0,0,1700,0,0,900,0,0,0,0,0,0,0,0,0,1237.5,0,0,0,0,0,0,2275,0,0
2010-03,2400,0,0,0,1500,1400,0,1200,1195,997,1650,1300,1350,1575,1200,1400,1150,1250,1600,0,0,0,0,1100,1200,0,0,0,1800,0,0,900,0,0,1275,0,0,0,0,0,0,1225,0,0,0,0,0,0,1972.5,0,0
2010-04,2400,0,0,0,1500,1400,1200,1200,1200,1025,1650,1350,1350,1700,1250,1377.5,1200,1100,1600,0,1535,0,0,1200,1200,0,0,0,1900,0,0,850,0,0,1250,0,0,0,0,0,0,1300,0,0,0,0,0,0,1999,0,0
2010-05,2400,0,0,0,1500,1437.5,1200,1200,1200,1100,1675,1400,1395,1575,1250,1300,1300,1100,1650,0,1400,0,1095,1200,1250,1200,0,0,1850,0,0,850,0,0,1250,0,0,0,0,0,0,1395,0,0,0,0,0,0,2000,0,0
2010-06,2495,0,0,0,1500,1475,1200,1250,1200,1100,1650,1450,1400,1800,1250,1299,1350,1100,1700,0,1537.5,0,1100,1200,1250,1195,0,0,2000,0,0,900,0,0,1250,0,0,0,0,0,0,1350,0,0,0,0,0,0,2125,0,0
2010-07,2500,0,0,0,1550,1400,1200,1200,1200,1100,1650,1500,1495,1562.5,1250,1250,1298,1072.5,1700,0,1697.5,0,1100,1192.5,1300,1200,0,0,1875,0,0,897.5,0,0,1212.5,0,0,0,0,0,0,1500,0,0,0,0,0,0,2300,0,0
2010-08,2595,0,0,0,1520,1450,1250,1200,1200,1150,1600,1450,1550,1600,1300,1295,1250,1150,1700,0,1650,0,1050,1195,1225,1050,0,0,1800,0,0,895,0,0,1250,0,0,0,0,0,0,1500,0,0,0,0,0,0,2200,0,0
2010-09,2497,0,0,0,1500,1425,1100,1200,1200,1150,1600,1395,1500,1650,1150,1250,1250,1050,1695,0,1485,0,995,1150,1122.5,1050,0,0,1700,0,0,850,0,0,1250,1200,0,0,0,0,0,1495,0,0,0,0,0,0,2180,0,0
2010-10,2400,0,0,0,1550,1400,1095,1165,1197,1100,1650,1325,1495,1691,1150,1200,1250,1000,1650,999.5,1400,0,950,1125,1100,1050,0,1000,1700,0,0,850,0,0,1225,1150,0,0,0,0,0,1400,0,0,0,0,0,0,2200,0,0
2010-11,2300,0,0,0,1595,1400,1100,1150,1190,1100,1650,1350,1495,1700,1150,1250,1200,1000,1600,1000,1395,0,995,1100,1100,1100,0,1037.5,1700,0,0,875,0,0,1200,1125,0,0,0,0,0,1295,0,0,0,0,0,0,2156.5,0,0
2010-12,2400,0,0,0,1600,1400,1050,1100,1200,1150,1700,1400,1400,1800,1095,1200,1195,1050,1645,1100,1420,0,975,1100,1200,1095,0,1000,1750,0,850,850,0,0,1195,1195,0,0,0,0,0,1350,0,0,1297.5,0,0,0,2250,0,0
2011-01,2050,0,0,0,1550,1300,900,1000,1150,1000,1700,1350,1395,1800,937,1150,1095,900,1600,1083.5,1300,0,992.5,1050,1200,950,1100,1000,1800,0,800,850,850,0,1195,1150,0,0,0,0,0,1295,0,0,1200,0,0,0,2400,0,0
2011-02,2100,0,0,1450,1525,1295,899,1000,1100,995,1700,1350,1395,1750,925,1150,1025,925,1600,999,1300,0,950,1025,1200,900,1100,925,1750,0,850,825,760,0,1195,1100,0,0,0,1900,0,1300,0,0,1250,0,1500,0,2300,0,0
2011-03,2095,0,3000,1400,1500,1300,900,1000,1100,999,1700,1395,1400,1705,950,1145,1090,950,1595,1030,1300,0,950,1075,1200,900,1095,900,1800,0,900,850,825,0,1150,1195,0,0,895,1950,0,1250,0,0,1275,0,1500,0,2295,0,0
2011-04,2100,0,3300,1450,1550,1350,995,1050,1150,1007.5,1775,1450,1400,1800,960,1175,1100,1000,1600,1095,1375,1295,1000,1100,1250,950,1125,875,2000,0,950,850,950,1195,1195,1195,0,0,895,1900,0,1300,0,0,1350,0,1570,0,2300,0,0
2011-05,2135,0,3230,1430,1575,1400,1000,1100,1150,1050,1800,1500,1450,1825,950,1150,1150,1000,1650,1195,1350,1300,1000,1150,1250,950,1195,895,2100,1050,950,885,950,1192.5,1200,1195,1200,0,875,1900,0,1200,0,0,1350,0,1525,0,2400,0,0
2011-06,2100,0,3200,1400,1600,1395,1000,1100,1150,1050,1800,1500,1485,1850,895,1150,1190,995,1665,1200,1350,1295,995,1100,1200,950,1195,950,2100,1195,900,900,950,1200,1195,1150,1300,0,850,1850,0,1385,0,0,1299.5,0,1700,0,2350,0,0
2011-07,2050,0,3100,1400,1600,1375,1050,1100,1100,1050,1800,1500,1450,1900,862.5,1100,1150,975,1699,1250,1350,1295,1000,1100,1285,995,1195,975,1950,1095,900,900,999,1200,1195,1195,1225,0,875,1900,0,1495,0,0,1300,0,1695,0,2450,0,0
2011-08,2000,0,3090,1400,1600,1375,1000,1100,1100,1050,1750,1495,1400,1850,875,1100,1150,975,1695,1112.5,1385,1295,995,1100,1272.5,995,1200,895,1900,1040,900,900,995,1200,1195,1150,1200,0,895,1875,0,1495,0,1100,1300,0,1650,0,2460,0,0
2011-09,1975,0,2995,1400,1600,1350,1000,1000,1100,1025,1700,1450,1395,1845,850,1100,1150,950,1650,1195,1350,1295,950,1100,1200,975,1225,925,1800,1150,937.5,895,1000,1150,1180,1175,1200,0,895,1950,0,1400,0,1050,1250,0,1700,0,2497.5,0,0
2011-10,1950,0,2800,1400,1550,1295,950,850,1100,1000,1650,1400,1375,1800,825,1095,1100,950,1600,1100,1350,1275,950,1095,1173.5,950,1195,850,1797.5,1100,900,875,995,1100,1150,1150,1087.5,0,850,1875,0,1300,1595,935,1200,0,1497.5,0,2500,0,0
2011-11,1895,0,2700,1400,1500,1250,925,820,1050,1000,1800,1395,1300,1800,825,1095,1085,950,1600,1150,1300,1250,995,1050,1200,925,1195,850,1700,1050,900,850,895,1100,1125,1100,1050,0,850,1850,0,1300,1500,900,1200,0,1427.5,0,2500,0,0
2011-12,1850,0,2700,1400,1500,1250,900,825,1050,995,1875,1375,1299,1800,850,1095,1050,950,1600,1199.5,1295,1200,995,1050,1200,925,1175,875,1700,985,950,875,895,1095,1125,1100,1100,0,850,1900,0,1300,1512.5,900,1200,0,1500,0,2342.5,0,0
2012-01,1850,0,2550,1395,1500,1200,950,850,1050,995,1850,1352.5,1295,1800,850,1095,1050,995,1600,1195,1295,1200,975,1050,1200,895,1150,895,1650,962.5,950,850,900,1095,1100,1100,975,0,850,1900,0,1282.5,1600,897.5,1250,0,1525,0,2350,0,0
2012-02,1835,0,2750,1400,1500,1250,950,850,1045,1000,1900,1375,1295,1900,895,1095,1075,927.5,1595,1150,1295,1250,995,1050,1200,900,1150,895,1650,980,907.5,850,975,1075,1100,1100,995,0,850,1950,0,1275,1650,900,1200,0,1500,0,2400,0,0
2012-03,1850,0,2690,1450,1550,1295,950,850,1050,1000,1900,1400,1300,1950,850,1100,1100,950,1600,1195,1295,1250,1000,1100,1200,925,1150,950,1700,995,900,850,997,1050,1100,1100,1000,0,850,1995,0,1300,1600,875,1200,0,1500,0,2400,0,0
2012-04,1795,0,2695,1400,1500,1300,829,850,1000,1025,1950,1400,1345,2000,800,1100,1100,950,1500,1195,1295,1295,825,1095,1200,897,1195,850,1700,900,895,850,1095,1100,1100,1095,1000,0,850,2000,0,1350,1600,925,1200,0,1425,0,2395,0,0
2012-05,1780,0,2750,1400,1500,1300,800,850,1050,1050,1995,1450,1350,2000,799,1100,1100,925,1500,1150,1295,1295,818,1100,1200,850,1195,850,1650,900,900,850,1097,1100,1100,1095,1050,0,895,2000,0,1350,1650,950,1200,0,1500,0,2350,0,0
2012-06,1800,0,2700,1450,1550,1300,850,850,1075,1050,2000,1500,1350,2050,799,1100,1100,925,1575,1150,1300,1299,850,1100,1200,850,1195,895,1750,950,900,900,1032,1125,1100,1100,1150,0,875,2000,0,1350,1600,995,1275,0,1500,0,2434.5,0,0
2012-07,1800,0,2700,1450,1545,1300,850,850,1050,1050,1950,1495,1375,2050,800,1100,1100,900,1550,1150,1300,1300,850,1100,1200,850,1200,875,1700,975,900,900,1000,1100,1100,1100,1197.5,0,875,1950,0,1350,1600,950,1250,0,1595,0,2300,0,0
2012-08,1795,0,2700,1450,1550,1300,850,850,1050,1000,1900,1465,1350,2000,850,1100,1100,900,1575,1200,1300,1295,850,1100,1200,850,1200,925,1650,950,850,900,997,1150,1100,1125,1200,0,875,1900,0,1400,1600,957.5,1200,0,1500,0,2300,0,0
2012-09,1795,0,2725,1450,1500,1200,850,850,1050,1000,1850,1450,1350,2000,845,1100,1075,900,1575,1200,1350,1295,836.5,1100,1200,950,1250,895,1600,975,895,900,1000,1150,1100,1100,1200,0,895,1950,0,1400,1600,995,1200,0,1500,0,2450,0,0
2012-10,1795,0,2785,1400,1500,1200,850,850,1025,999,1800,1400,1350,2000,825,1095,1050,895,1550,1200,1350,1295,850,1100,1175,850,1200,900,1600,990,895,925,975,1172.5,1100,1095,1200,0,895,1950,0,1400,1600,995,1200,0,1500,0,2497.5,0,0
2012-11,1775,0,2790,1425,1490,1200,895,850,1000,995,1850,1450,1334,2000,800,1095,1025,875,1590,1200,1300,1295,875,1100,1150,850,1195,950,1550,995,875,900,995,1195,1100,1075,1165,0,895,2000,0,1400,1600,990,1200,0,1650,0,2500,0,0
2012-12,1725,1200,2850,1400,1500,1200,850,850,1000,995,1800,1400,1300,2000,765,1095,995,850,1525,1195,1345,1275,850,1095,1100,850,1186,895,1500,975,900,895,950,1150,1099,1050,1100,0,895,2000,0,1400,1515,995,1200,0,1600,0,2410,0,0
2013-01,1750,1014,2800,1400,1500,1200,800,825,1000,995,1800,1400,1295,2100,765,1095,995,850,1550,1000,1320,1295,850,1075,1150,850,1150,875,1500,900,900,900,950,1150,1100,1050,1097.5,0,895,2050,0,1369,1500,975,1200,0,1500,0,2410,0,0
2013-02,1750,1058.5,2825,1425,1495,1200,800,825,995,975,1800,1449,1295,2140,775,1095,975,850,1550,1000,1300,1295,850,1075,1150,825,1150,875,1500,925,895,875,995,1150,1100,1095,998,0,875,2050,0,1300,1550,1000,1200,0,1500,0,2597.5,0,0
2013-03,1750,1064,2800,1450,1500,1250,824,850,1000,995,1850,1490,1299,2100,800,1095,995,850,1575,1062.5,1300,1295,850,1095,1150,850,1114,900,1500,900,895,900,1000,1175,1100,1050,1000,0,850,2000,0,1250,1500,995,1200,0,1600,0,2500,0,0
2013-04,1750,1133,2850,1475,1500,1280,820,850,1000,1000,1900,1495,1345,2200,825,1100,999,850,1590,1095,1325,1350,850,1100,1150,850,1125,895,1550,950,895,925,1050,1150,1100,1095,1000,0,850,2100,0,1350,1500,961,1250,0,1525,0,2400,0,0
2013-05,1750,1140,2925,1495,1525,1300,825,850,1055,1050,1950,1500,1395,2200,850,1100,985,850,1600,1100,1350,1295,850,1100,1195,875,1195,900,1600,970,895,925,1095,1150,1100,1100,1000,0,875,2200,0,1375,1500,925,1292.5,0,1500,0,2350,0,0
2013-06,1775,1225,2850,1500,1512.5,1300,825,850,1050,1050,1800,1500,1395,2200,850,1100,1025,850,1600,1050,1350,1295,845,1100,1185,850,1199,900,1600,975,870,900,1050,1195,1100,1100,1150,0,895,2200,0,1400,1450,975,1295,0,1550,0,2450,0,0
2013-07,1780,1175,2750,1550,1550,1280,800,850,1050,1050,1800,1500,1375,2255,875,1100,1000,850,1600,995,1300,1300,850,1125,1100,850,1195,900,1600,900,860,900,950,1195,1130,1100,1000,0,895,2000,0,1350,1400,975,1297.5,0,1500,0,2500,0,0
2013-08,1700,1195,2800,1500,1560,1250,830,875,1050,1050,1750,1500,1400,2200,850,1050,995,850,1600,1045,1300,1300,850,1150,1100,850,1200,900,1600,900,875,900,950,1199,1150,1125,1000,0,875,2000,0,1300,1350,950,1300,887.5,1550,0,2450,0,0
2013-09,1849,1239,2850,1550,1550,1250,945,900,1050,1050,1750,1525,1400,2200,900,1100,1025,850,1621,1175,1350,1325,925,1175,1195,900,1250,950,1750,985,900,925,975,1250,1150,1150,1100,0,895,2000,0,1395,1400,950,1300,890,1600,0,2480,0,0
2013-10,1895,1250,2895,1600,1550,1275,982,900,1075,1050,1750,1525,1450,2200,900,1100,1095,895,1650,1200,1375,1350,925,1195,1200,950,1295,1000,1795,1050,925,950,1050,1250,1150,1150,1150,0,925,2100,0,1495,1600,1000,1300,1050,1650,0,2350,0,0
2013-11,1850,1250,2900,1650,1535,1250,900,900,1050,1050,1750,1500,1490,2200,900,1100,1095,875,1600,1200,1395,1382.5,850,1150,1200,895,1295,1000,1700,1000,885,950,997,1250,1150,1100,1137.5,0,925,2000,0,1495,1600,1097.5,1295,1000,1650,0,2499,0,0
2013-12,1900,1250,3000,1650,1550,1250,1000,900,1095,1050,1750,1500,1495,2200,950,1100,1095,895,1699,1200,1395,1350,907.5,1150,1200,927,1280,1050,1700,1050,900,950,1000,1200,1150,1100,1100,0,925,2100,0,1450,1650,995,1250,900,1500,0,2450,0,0
2014-01,1900,1250,3000,1600,1537,1250,945,900,1075,1020,1775,1495,1450,2202,925,1100,1075,875,1650,1150,1395,1362.5,850,1150,1197.5,900,1250,995,1675,995,900,950,1000,1200,1150,1100,1000,0,925,2000,0,1450,1600,950,1200,900,1515,0,2400,0,0
2014-02,1850,1250,3000,1559,1500,1200,917.5,895,1050,1025,1750,1475,1450,2200,900,1100,1049,850,1613,1100,1395,1350,850,1125,1150,895,1250,995,1650,975,900,950,1000,1195,1150,1100,1097.5,0,925,2000,0,1450,1600,950,1200,900,1500,0,2450,0,0
2014-03,1850,1275,2950,1500,1500,1225,900,895,1050,1050,1750,1495,1450,2200,900,1100,1050,850,1600,1050,1395,1350,850,1100,1150,895,1250,1000,1650,995,900,950,1000,1199,1150,1100,1000,0,925,1950,0,1400,1600,950,1200,950,1475,0,2400,0,0
2014-04,1850,1300,2950,1500,1500,1250,900,899,1050,1050,1750,1495,1425,2250,900,1100,1050,875,1600,1100,1395,1350,850,1145,1150,900,1250,1020,1695,995,900,950,1000,1195,1150,1100,1000,0,925,1950,0,1400,1600,950,1200,900,1497.5,0,2400,0,0
2014-05,2000,1350,3000,1600,1599,1350,1000,900,1100,1100,1850,1595,1495,2400,995,1175,1100,900,1700,1150,1395,1400,950,1195,1200,950,1300,1100,1800,1050,900,995,1080,1195,1195,1100,1150,0,950,2200,0,1425,1750,950,1275,900,1500,0,2500,0,0
2014-06,2000,1350,3100,1600,1600,1395,995,900,1100,1100,1875,1600,1495,2400,975,1195,1100,900,1700,1150,1395,1400,950,1195,1200,950,1300,1150,1800,1095,950,995,1100,1200,1195,1100,1100,0,950,2200,0,1450,1700,975,1300,950,1670,0,2500,1295,0
2014-07,2000,1375,2975,1600,1600,1350,900,900,1100,1095,1850,1625,1500,2400,925,1175,1100,925,1750,1150,1395,1450,975,1200,1200,950,1395,1150,1800,975,950,950,1095,1200,1200,1150,1200,0,950,2100,0,1500,1650,1095,1300,850,1750,0,2500,1200,0
2014-08,2075,1375,2900,1600,1600,1300,900,925,1100,1095,1850,1600,1500,2400,955,1195,1100,900,1750,1150,1400,1450,950,1200,1200,950,1395,1175,1800,950,1000,950,1080,1200,1200,1150,1100,0,995,2100,1400,1400,1675,1100,1300,900,1750,0,2500,1300,0
2014-09,2100,1350,2887,1600,1600,1300,980,950,1100,1075,1800,1595,1500,2300,992.5,1175,1100,900,1700,1200,1395,1495,950,1200,1200,995,1399,1100,1750,1025,995,975,1050,1250,1200,1125,1100,0,995,2150,1400,1400,1600,1000,1300,975,1742.5,0,2500,1200,0
2014-10,2095,1350,2850,1595,1600,1295,975,950,1100,1075,1800,1575,1500,2250,995,1150,1100,900,1700,1199,1395,1495,950,1195,1200,975,1395,1100,1700,1000,980,975,1050,1250,1200,1125,1100,0,995,2200,1300,1400,1600,1025,1300,950,1700,0,2495,1200,0
2014-11,2095,1350,2821,1575,1550,1285,950,875,1100,1050,1795,1550,1500,2240,925,1175,1100,895,1695,1100,1395,1495,925,1180,1200,987.5,1395,1095,1700,925,995,975,1050,1200,1200,1100,1095,0,995,2300,1300,1400,1600,937.5,1300,950,1650,0,2450,1100,0
2014-12,2100,1350,2875,1550,1573,1250,950,925,1100,1050,1795,1550,1495,2295,950,1175,1095,875,1690,1095,1395,1450,950,1195,1200,975,1395,1095,1675,1000,975,975,1050,1208,1200,1100,1100,0,995,2300,1325,1400,1600,995,1250,1000,1697.5,0,2400,1000,0
2015-01,2100,1350,3000,1550,1550,1287,950,900,1100,1095,1800,1550,1500,2400,950,1195,1095,895,1695,1100,1395,1495,925,1195,1200,975,1395,1050,1700,950,975,995,1050,1200,1200,1100,1100,0,995,2350,1300,1400,1750,995,1295,1007.5,1665,0,2500,1100,0
2015-02,2100,1375,3000,1575,1575,1300,975,900,1100,1095,1800,1550,1500,2450,975,1200,1095,885,1695,1090,1395,1500,900,1200,1200,987,1395,1095,1700,950,975,995,1075,1225,1200,1100,1100,0,995,2350,1350,1375,1800,1000,1275,995,1600,0,2420,1197.5,0
2015-03,2149,1395,3000,1600,1599,1325,997,942,1110,1100,1850,1550,1500,2450,1000,1200,1100,895,1700,1112.5,1395,1595,925,1200,1200,995,1395,1150,1750,1050,1050,1000,1100,1250,1225,1100,1100,0,995,2350,1500,1400,1800,1000,1225,950,1650,0,2500,1250,0
